Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,11514.7197265625,11598.0302734375,11423.33984375,11574.0703125,11574.0703125,2328300
2020-02-11,11614.25,11678.580078125,11614.25,11664.0400390625,11664.0400390625,1845400
2020-02-12,11693.400390625,11801.51953125,11693.400390625,11774.1904296875,11774.1904296875,2120500
2020-02-13,11813.5,11854.98046875,11784.9404296875,11791.7802734375,11791.7802734375,2132400
2020-02-14,11806.51953125,11840.7900390625,11788.8701171875,11815.7001953125,11815.7001953125,1697100
2020-02-17,11770.2998046875,11775.5595703125,11724.8203125,11763.509765625,11763.509765625,1837200
2020-02-18,11700.91015625,11717.099609375,11642.9501953125,11648.98046875,11648.98046875,1882600
2020-02-19,11655.3701171875,11783.4296875,11654.16015625,11758.83984375,11758.83984375,2169000
2020-02-20,11785.7802734375,11827.830078125,11714.150390625,11725.08984375,11725.08984375,2035400
2020-02-21,11721.16015625,11755.169921875,11661.6298828125,11686.349609375,11686.349609375,1952700
2020-02-24,11615.2802734375,11615.2802734375,11512.080078125,11534.8701171875,11534.8701171875,2347100
2020-02-25,11506.740234375,11567.08984375,11415.4697265625,11540.23046875,11540.23046875,2158400
2020-02-26,11468.599609375,11494.2197265625,11408.0595703125,11433.6201171875,11433.6201171875,2640000
2020-02-27,11436.9599609375,11470.23046875,11274.51953125,11292.169921875,11292.169921875,3360600
2020-03-02,11184.66015625,11282.0498046875,11049.849609375,11170.4599609375,11170.4599609375,3204100
2020-03-03,11279.8603515625,11390.240234375,11279.8603515625,11327.7197265625,11327.7197265625,2572300
2020-03-04,11368.25,11392.349609375,11297.8095703125,11392.349609375,11392.349609375,2245300
2020-03-05,11454.650390625,11525.3203125,11454.650390625,11514.8203125,11514.8203125,2291000
2020-03-06,11471.3603515625,11471.3603515625,11310.3203125,11321.8095703125,11321.8095703125,2518500
2020-03-09,11221.759765625,11221.759765625,10977.6396484375,10977.6396484375,10977.6396484375,3897400
2020-03-10,10907.6201171875,11032.4697265625,10830.2197265625,11003.5400390625,11003.5400390625,3544100
2020-03-11,11022.8203125,11088.23046875,10885.91015625,10893.75,10893.75,2804700
2020-03-12,10845.3896484375,10845.3896484375,10359.669921875,10422.3203125,10422.3203125,4844200
2020-03-13,10091.0302734375,10171.2001953125,9636.150390625,10128.8701171875,10128.8701171875,5906200
2020-03-16,10069.419921875,10130.7998046875,9717.76953125,9717.76953125,9717.76953125,3783600
2020-03-17,9538.6396484375,9677.0703125,9371.349609375,9439.6298828125,9439.6298828125,4504100
2020-03-18,9453.98046875,9509.6103515625,9218.669921875,9218.669921875,9218.669921875,3991000
2020-03-19,9085.2802734375,9085.2802734375,8523.6298828125,8681.33984375,8681.33984375,5702600
2020-03-20,8816.8603515625,9264.419921875,8816.8603515625,9234.08984375,9234.08984375,4683400
2020-03-23,9025.5498046875,9029.51953125,8750.1396484375,8890.0302734375,8890.0302734375,136500
2020-03-24,9083.7802734375,9415.6396484375,9083.7802734375,9285.6201171875,9285.6201171875,2920600
2020-03-25,9426.4296875,9722.3701171875,9426.4296875,9644.75,9644.75,3565400
2020-03-26,9667.1396484375,9739.73046875,9565.01953125,9736.3603515625,9736.3603515625,2795400
2020-03-27,9807.900390625,9954.8603515625,9691.1396484375,9698.919921875,9698.919921875,3349400
2020-03-30,9571.2197265625,9655.7001953125,9415.51953125,9629.4296875,9629.4296875,2274000
2020-03-31,9689.6201171875,9789.8095703125,9630.2998046875,9708.0595703125,9708.0595703125,2882300
2020-04-01,9726.2001953125,9736.0,9663.6298828125,9663.6298828125,9663.6298828125,2434800
2020-04-06,9707.75,9818.740234375,9651.51953125,9818.740234375,9818.740234375,2987300
2020-04-07,9928.16015625,10039.150390625,9928.16015625,9996.3896484375,9996.3896484375,3205000
2020-04-08,10010.6396484375,10149.759765625,9984.66015625,10137.4697265625,10137.4697265625,3117000
2020-04-09,10173.259765625,10246.83984375,10092.3603515625,10119.4296875,10119.4296875,3058700
2020-04-10,10105.4296875,10165.1201171875,10103.76953125,10157.6103515625,10157.6103515625,2365200
2020-04-13,10147.5595703125,10179.400390625,10080.650390625,10099.2197265625,10099.2197265625,2456300
2020-04-14,10130.650390625,10344.1298828125,10130.650390625,10332.9404296875,10332.9404296875,2847000
2020-04-15,10366.76953125,10461.83984375,10366.76953125,10447.2099609375,10447.2099609375,3333800
2020-04-16,10385.7802734375,10425.2900390625,10317.1298828125,10375.48046875,10375.48046875,2770300
2020-04-17,10554.5498046875,10710.150390625,10552.580078125,10597.0400390625,10597.0400390625,3725200
2020-04-20,10612.4501953125,10637.6396484375,10542.9599609375,10586.7099609375,10586.7099609375,2298700
2020-04-21,10544.7998046875,10544.7998046875,10278.9501953125,10288.419921875,10288.419921875,3392700
2020-04-22,10256.1103515625,10310.849609375,10140.08984375,10307.740234375,10307.740234375,2531000
2020-04-23,10370.1298828125,10462.7001953125,10294.8798828125,10366.509765625,10366.509765625,2633300
2020-04-24,10367.9697265625,10386.9296875,10324.2001953125,10347.3603515625,10347.3603515625,2400100
2020-04-27,10407.490234375,10578.9599609375,10407.490234375,10567.26953125,10567.26953125,3281100
2020-04-28,10580.25,10620.51953125,10537.7099609375,10616.0595703125,10616.0595703125,3260300
2020-04-29,10656.400390625,10794.830078125,10656.400390625,10772.2197265625,10772.2197265625,3529100
2020-04-30,10826.259765625,11012.7802734375,10826.259765625,10992.1396484375,10992.1396484375,3909100
2020-05-04,10781.509765625,10781.509765625,10658.5,10720.48046875,10720.48046875,3113100
2020-05-05,10756.9501953125,10833.5302734375,10735.009765625,10774.6103515625,10774.6103515625,2817200
2020-05-06,10771.08984375,10828.73046875,10708.099609375,10774.98046875,10774.98046875,3137600
2020-05-07,10778.5302734375,10890.8701171875,10775.16015625,10842.919921875,10842.919921875,2849600
2020-05-08,10883.2197265625,10970.7001953125,10883.2197265625,10901.419921875,10901.419921875,3169900
2020-05-11,10942.1796875,11039.1103515625,10942.1796875,11013.259765625,11013.259765625,3370600
2020-05-12,10974.509765625,10974.509765625,10854.509765625,10879.4697265625,10879.4697265625,3047800
2020-05-13,10861.009765625,10938.26953125,10828.9296875,10938.26953125,10938.26953125,2677400
2020-05-14,10894.169921875,10894.169921875,10777.4599609375,10780.8798828125,10780.8798828125,3054300
2020-05-15,10833.16015625,10904.009765625,10730.5498046875,10814.919921875,10814.919921875,2749400
2020-05-18,10753.2099609375,10812.8701171875,10730.7001953125,10740.5498046875,10740.5498046875,2716100
2020-05-19,10812.7900390625,10924.7900390625,10812.7900390625,10860.4404296875,10860.4404296875,3048200
2020-05-20,10892.759765625,10933.98046875,10860.150390625,10907.7998046875,10907.7998046875,2731300
2020-05-21,10933.2099609375,11021.66015625,10933.2099609375,11008.3095703125,11008.3095703125,2787700
2020-05-22,10977.5498046875,10977.5498046875,10804.5595703125,10811.150390625,10811.150390625,2923700
2020-05-25,10812.9404296875,10874.5400390625,10719.25,10871.1796875,10871.1796875,2222100
2020-05-26,10903.3203125,11046.2197265625,10903.3203125,10997.2099609375,10997.2099609375,2886300
2020-05-27,11023.9296875,11069.7197265625,10972.25,11014.66015625,11014.66015625,2794500
2020-05-28,11040.6201171875,11087.5302734375,10915.2998046875,10944.1904296875,10944.1904296875,3122300
2020-05-29,10921.16015625,10965.0302734375,10861.900390625,10942.16015625,10942.16015625,3589800
2020-06-01,10971.400390625,11109.2900390625,10971.400390625,11079.01953125,11079.01953125,2655700
