"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/10/18","21.5","21.5","21.4","21.45","-0.05000000000000071","-0.23","23"
"2022/10/17","21.35","21.95","21.35","21.5","0.14999999999999858","0.70","21"
"2022/10/14","21.2","21.5","21.2","21.35","-0.04999999999999716","-0.23","70"
"2022/10/13","21.7","21.7","21.15","21.4","-0.40000000000000213","-1.83","167"
"2022/10/12","21.9","21.9","21.55","21.8","-0.05000000000000071","-0.23","39"
"2022/10/11","22","22","21.85","21.85","-0.3999999999999986","-1.80","55"
"2022/10/07","22.45","22.45","22.2","22.25","0.1999999999999993","0.91","13"
"2022/10/06","22.4","22.4","22","22.05","-0.4499999999999993","-2.00","63"
"2022/10/05","22.8","22.8","22.25","22.5","0.1999999999999993","0.90","18"
"2022/10/04","22.25","22.4","22.2","22.3","0.10000000000000142","0.45","48"
"2022/10/03","22.25","22.25","22.05","22.2","0","0.00","22"
"2022/09/30","22","22.3","21.55","22.2","0.1999999999999993","0.91","20"
"2022/09/29","22.5","23.05","22","22","0","0.00","42"
"2022/09/28","23","23.2","22","22","-1.3500000000000014","-5.78","114"
"2022/09/27","23.8","23.8","22.95","23.35","0.25","1.08","70"
"2022/09/26","23.6","23.6","23.1","23.1","-0.6999999999999993","-2.94","68"
"2022/09/23","23.7","23.8","23.5","23.8","0.10000000000000142","0.42","38"
"2022/09/22","23.75","23.8","23.5","23.7","-0.10000000000000142","-0.42","38"
"2022/09/21","23.9","23.95","23.7","23.8","-0.09999999999999787","-0.42","69"
"2022/09/20","24","24.1","23.9","23.9","-0.10000000000000142","-0.42","16"
"2022/09/19","23.9","24.3","23.9","24","0.14999999999999858","0.63","45"
"2022/09/16","23.8","24","23.8","23.85","-0.14999999999999858","-0.62","29"
"2022/09/15","23.7","24.15","23.7","24","0.3500000000000014","1.48","52"
"2022/09/14","23.6","23.75","23.55","23.65","0.04999999999999716","0.21","99"
"2022/09/13","23.65","23.7","23.55","23.6","-0.04999999999999716","-0.21","120"
"2022/09/12","23.65","23.85","23.6","23.65","0.04999999999999716","0.21","40"
"2022/09/08","23.8","23.9","23.55","23.6","0.25","1.07","25"
"2022/09/07","23.3","23.5","23.25","23.35","-0.34999999999999787","-1.48","54"
"2022/09/06","23.85","23.95","23.3","23.7","-0.3000000000000007","-1.25","69"
"2022/09/02","24","24.2","23.95","24","0","0.00","46"
"2022/09/01","24.05","24.05","23.95","24","-0.05000000000000071","-0.21","32"
"2022/08/31","24","24.1","23.9","24.05","-0.05000000000000071","-0.21","45"
"2022/08/30","24.05","24.2","24","24.1","0.10000000000000142","0.42","44"
