Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-25,40.99345819405619,42.244828003906996,40.99345819405619,41.659080505371094,23944600,0.0,0.0
2016-05-26,41.747830553432244,41.818828503400354,40.886957980932586,40.92245864868164,16956600,0.0,0.0
2016-05-27,41.037839222999004,41.4194595993436,40.89583991989647,41.3395881652832,13854500,0.0,0.0
2016-05-31,41.60583265598754,41.623582990454246,41.09995997304193,41.33070755004883,21404000,0.0,0.0
2016-06-01,40.8603357631113,41.703458034549534,40.36333655187199,41.659080505371094,17212500,0.0,0.0
2016-06-02,41.58808194636401,41.76558190389973,41.35733098590854,41.685707092285156,15483800,0.0,0.0
2016-06-03,40.034960815549624,40.469832130342176,39.271713414287724,40.2834587097168,36961500,0.0,0.0
2016-06-06,40.283463716212694,41.055584687285375,40.12371408281416,40.59408950805664,17321400,0.0,0.0
2016-06-07,40.8603283269813,40.91357593545672,40.389953010428066,40.41658020019531,12089800,0.0,0.0
2016-06-08,40.36333627818683,40.736086530471404,40.20358665371203,40.4343376159668,13147300,0.0,0.0
2016-06-09,40.097085092813145,40.12370889976362,39.62671311386211,39.94620895385742,17069000,0.0,0.0
2016-06-10,39.28946278075004,39.40483825114437,38.765839812689435,38.961090087890625,23071100,0.0,0.0
2016-06-13,38.36646483301456,39.1030883907221,38.2954668891379,38.30434036254883,20612100,0.0,0.0
2016-06-14,38.1978393082781,38.64158743206703,36.84884460569621,37.239341735839844,27621300,0.0,0.0
2016-06-15,37.54110053096619,38.064723591039005,37.24822845223009,37.28372573852539,21934200,0.0,0.0
2016-06-16,36.92872221051523,37.43459483924587,36.5204747181238,37.381343841552734,19904800,0.0,0.0
2016-06-17,37.66534314519604,38.109091311595506,37.407971781687024,37.700843811035156,25113400,0.0,0.0
2016-06-20,38.57058780685816,39.09421075142424,37.96709006106912,37.984840393066406,20244000,0.0,0.0
2016-06-21,38.31321318365095,38.34871384774972,37.691968489570776,38.091339111328125,14714900,0.0,0.0
2016-06-22,38.04696858166582,38.543967769586175,37.84284482203693,37.87834548950195,18087600,0.0,0.0
2016-06-23,38.614958223525186,39.49358095232211,38.57946094848045,39.45808029174805,25703000,0.0,0.0
2016-06-24,36.05897725451296,36.733472983511106,35.73060117101886,35.7661018371582,71849800,0.0,0.0
2016-06-27,35.12710002134457,35.18034762478721,33.999979479576034,34.15085220336914,53380200,0.0,0.0
2016-06-28,35.33123009186178,36.058976811120324,34.78985678924826,35.890350341796875,38605600,0.0,0.0
2016-06-29,36.51159785907672,37.44346831276318,36.2986006393637,37.381343841552734,34004100,0.0,0.0
2016-06-30,37.87834260622545,37.98484121498392,36.990846300335505,37.620967864990234,34485400,0.0,0.0
2016-07-01,37.54109569063627,37.887218732483845,37.24822364966138,37.42572021484375,19399600,0.0,0.0
2016-07-05,36.72459650209529,36.83109510626149,35.872597512176874,36.19209671020508,25571100,0.0,0.0
2016-07-06,35.6329798058184,36.4583516821401,35.52647780623954,36.44060134887695,27713900,0.0,0.0
