Date	Open	High	Low	Close	Volume('000 shares)	Date
2013/10/11	21.7	21.9	20.6	20.75	5060.615	2013/10/11
2013/10/14	20.8	20.8	20.35	20.65	1808.827	2013/10/14
2013/10/15	21.1	21.15	20.7	21	1315.673	2013/10/15
2013/10/16	21	21.05	20.7	20.95	1148.329	2013/10/16
2013/10/17	21	21.15	20.5	20.6	2589.82	2013/10/17
2013/10/18	20.6	21.05	20.5	20.95	2241.653	2013/10/18
2013/10/21	20.85	20.9	20.65	20.65	925.774	2013/10/21
2013/10/22	20.65	20.75	20.4	20.45	1413.854	2013/10/22
2013/10/23	20.65	20.85	20.45	20.6	1646.77	2013/10/23
2013/10/24	20.7	21.25	20.7	21	2388.51	2013/10/24
2013/10/25	21.25	21.25	20.65	20.65	1613.453	2013/10/25
2013/10/28	20.65	20.85	20.6	20.65	1092.022	2013/10/28
2013/10/29	20.65	20.65	20.5	20.5	1169.38	2013/10/29
2013/10/30	20.5	20.7	20.4	20.45	1371.811	2013/10/30
2013/10/31	20.4	20.5	20.15	20.15	2060.737	2013/10/31
2013/11/01	20.15	20.15	19.7	19.95	3022.122	2013/11/1
2013/11/04	19.95	19.95	19.75	19.85	1199.601	2013/11/4
2013/11/05	19.85	20.1	19.6	19.65	1925.943	2013/11/5
2013/11/06	19.65	19.65	19.25	19.35	1785.964	2013/11/6
2013/11/07	19.35	19.85	19.35	19.6	2100.349	2013/11/7
2013/11/08	19.6	19.75	19.45	19.6	649.861	2013/11/8
2013/11/11	19.7	19.9	19.7	19.75	789.467	2013/11/11
2013/11/12	19.9	20.15	19.75	20.15	1306.49	2013/11/12
2013/11/13	20.2	20.25	19.85	19.85	1040.38	2013/11/13
2013/11/14	19.85	20.15	19.85	20	901.855	2013/11/14
2013/11/15	20	20.2	20	20.05	817.543	2013/11/15
2013/11/18	19.95	20.25	19.95	20.1	986.435	2013/11/18
2013/11/19	20.3	20.6	20.25	20.6	1703.529	2013/11/19
2013/11/20	20.8	21.2	20.7	21.2	4847.546	2013/11/20
2013/11/21	21.3	21.4	21	21.25	2404.951	2013/11/21
2013/11/22	21.25	21.4	21.05	21.35	2239	2013/11/22
2013/11/25	21.5	21.7	21.4	21.4	2675.281	2013/11/25
2013/11/26	21.5	21.7	21.05	21.35	2316.689	2013/11/26
2013/11/27	21.4	21.4	21	21.05	1664.693	2013/11/27
2013/11/28	21.05	21.25	21	21.05	1137.776	2013/11/28
2013/11/29	21.3	21.35	21.1	21.25	1214.7	2013/11/29
2013/12/02	21.4	21.5	21.3	21.45	1145.359	2013/12/2
2013/12/03	21.5	22.3	21.45	22.05	6473.208	2013/12/3
2013/12/04	22.2	22.4	21.9	22.1	3357.749	2013/12/4
2013/12/05	22.3	22.3	21.55	21.7	2751.801	2013/12/5
2013/12/06	21.7	22.05	21.65	21.85	1648.552	2013/12/6
2013/12/09	22	22.15	21.65	21.7	1384.65	2013/12/9
2013/12/10	21.5	21.7	21.2	21.2	2195.972	2013/12/10
2013/12/11	21.2	21.4	20.8	20.95	1905.065	2013/12/11
2013/12/12	20.95	21.05	20.7	20.75	1059.958	2013/12/12
2013/12/13	20.7	20.9	20.6	20.9	1353.418	2013/12/13
2013/12/16	20.85	20.9	20.75	20.75	716.943	2013/12/16
2013/12/17	21	21.35	20.9	21.3	2127.474	2013/12/17
2013/12/18	21.35	21.5	21.25	21.4	1325.868	2013/12/18
2013/12/19	21.5	21.5	21.1	21.1	1361.229	2013/12/19
2013/12/20	21.2	21.65	21.1	21.45	1399.671	2013/12/20
2013/12/23	21.75	22	21.55	21.9	2843.624	2013/12/23
2013/12/24	21.9	21.95	21.5	21.6	1868.275	2013/12/24
2013/12/25	21.8	21.8	21.4	21.5	1068.033	2013/12/25
2013/12/26	21.5	21.65	21.45	21.55	1826.92	2013/12/26
2013/12/27	21.6	22.4	21.6	22.05	7120.077	2013/12/27
2013/12/30	22.2	22.3	21.9	22	3056.047	2013/12/30
2013/12/31	22	22.15	21.8	21.8	1954.037	2013/12/31
2014/01/02	21.9	22.1	21.8	21.85	1462.76	2014/1/2
2014/01/03	21.85	22.15	21.85	22	2638.039	2014/1/3
2014/01/06	22	22.2	21.7	21.7	2493.086	2014/1/6
2014/01/07	21.7	21.7	21.35	21.4	2355.856	2014/1/7
